no.,vertice_idx1,vertice_idx2,vertice_idx3
1132,553,521,543
1133,552,567,513
1134,514,552,513
1135,267,260,261
1136,257,260,267
1137,260,257,250
1138,244,260,250
1139,260,244,261
1140,278,273,267
1141,275,271,279
1142,285,275,279
1143,275,264,271
1144,185,165,176
1145,176,165,160
1146,165,145,146
1147,165,152,160
1148,152,165,146
1149,177,174,198
1150,198,174,134
1151,174,162,134
1152,174,161,162
1153,161,174,177
1154,181,182,193
1155,193,182,198
1156,182,177,198
1157,121,122,131
1158,122,112,131
1159,122,121,103
1160,112,122,103
1161,74,84,86
1162,67,74,86
1163,84,74,75
1164,75,74,65
1165,65,74,53
1166,74,67,53
1167,41,52,50
1168,52,41,43
1169,52,43,53
1170,67,52,53
1171,85,76,86
1172,76,67,86
1173,76,85,83
1174,144,156,137
1175,129,144,137
1176,144,129,138
1177,218,226,219
1178,226,218,228
1179,237,226,228
1180,226,237,249
