no.,sX1_aeqd,sX2_aeqd,sX3_aeqd,sY1_aeqd,sY2_aeqd,sY3_aeqd,vertice_idx1,vertice_idx2,vertice_idx3
470,898633.6795387112,892692.7858391254,908460.4482525548,9528159.015264403,9520530.45662679,9520245.825137278,644,660,685
471,865035.5929818703,886135.3775320485,867670.2220793965,9525350.423588628,9525796.65152201,9535623.604846137,596,631,572
472,858657.8271123535,865035.5929818703,867670.2220793965,9532916.282957084,9525350.423588628,9535623.604846137,568,596,572
473,865035.5929818703,858657.8271123535,852940.4828211459,9525350.423588628,9532916.282957084,9527579.688310318,596,568,573
474,860764.0833178782,865035.5929818703,852940.4828211459,9516388.857358944,9525350.423588628,9527579.688310318,616,596,573
475,865992.0570063437,854615.8706076978,862778.8740089155,9475076.80320408,9464410.476660365,9457857.317493334,747,762,785
476,871647.4262632871,860764.0833178782,854663.2010968653,9500250.231655562,9516388.857358944,9506419.185105339,687,616,635
477,807432.0957998375,800840.0942064389,817304.1935717532,9506933.45427358,9489973.304073684,9499111.483798936,561,598,597
478,819885.1982111591,807432.0957998375,817304.1935717532,9509397.913779223,9506933.45427358,9499111.483798936,574,561,597
479,785842.4065569591,794258.5618577636,799010.9232445532,9499358.297228124,9495177.630620927,9511125.957011366,548,575,529
480,794258.5618577636,807432.0957998375,799010.9232445532,9495177.630620927,9506933.45427358,9511125.957011366,575,561,529
481,807432.0957998375,794258.5618577636,800840.0942064389,9506933.45427358,9495177.630620927,9489973.304073684,561,575,598
482,820441.0583203079,827910.7517288763,814281.571502041,9430014.074315537,9436380.916750414,9439862.530593026,800,797,767
483,832504.5276252178,854685.5879564374,855467.0290289543,9449988.613666248,9444568.643981691,9453834.254671613,766,808,786
484,854685.5879564374,832504.5276252178,846612.4582309937,9444568.643981691,9449988.613666248,9431273.652376618,808,766,832
485,854685.5879564374,867275.2330891767,855467.0290289543,9444568.643981691,9449290.311397387,9453834.254671613,808,817,786
486,832504.5276252178,840572.0043045522,829614.909356017,9449988.613666248,9463297.170364507,9457234.9416083,766,740,741
487,840572.0043045522,828736.4827427756,829614.909356017,9463297.170364507,9467810.125837173,9457234.9416083,740,708,741
488,854615.8706076978,840572.0043045522,855467.0290289543,9464410.476660365,9463297.170364507,9453834.254671613,762,740,786
489,840572.0043045522,832504.5276252178,855467.0290289543,9463297.170364507,9449988.613666248,9453834.254671613,740,766,786
490,828736.4827427756,840572.0043045522,843748.4352126431,9467810.125837173,9463297.170364507,9480525.958585178,708,740,699
491,496524.3521985199,508329.61951187596,504059.3645154683,9333090.32084267,9328986.529052233,9346673.120851202,544,581,515
492,508329.61951187596,496524.3521985199,489455.1890627239,9328986.529052233,9333090.32084267,9328792.844595108,581,544,545
493,486810.60277815623,496524.3521985199,504059.3645154683,9345224.518959628,9333090.32084267,9346673.120851202,488,544,515
494,464056.59519307234,442454.36979054764,438724.17573791987,9335861.090666639,9352003.238335153,9345187.527716609,479,386,404
495,458148.37908084976,442454.36979054764,464056.59519307234,9357097.05455573,9352003.238335153,9335861.090666639,403,386,479
496,442454.36979054764,428637.21329348424,438724.17573791987,9352003.238335153,9350294.370216878,9345187.527716609,386,363,404
497,465541.75624987617,458148.37908084976,468548.6602715045,9368389.17573859,9357097.05455573,9358929.763232825,379,403,413
498,489455.1890627239,482832.41540669475,470582.3086894902,9328792.844595108,9333781.139449252,9328562.387760913,545,516,511
499,496524.3521985199,482832.41540669475,489455.1890627239,9333090.32084267,9333781.139449252,9328792.844595108,544,516,545
500,482832.41540669475,496524.3521985199,486810.60277815623,9333781.139449252,9333090.32084267,9345224.518959628,516,544,488
501,478406.6122890472,486810.60277815623,485484.7343498662,9349134.93233414,9345224.518959628,9353440.966795757,464,488,463
502,464056.59519307234,478406.6122890472,468548.6602715045,9335861.090666639,9349134.93233414,9358929.763232825,479,464,413
503,484709.43369991746,486039.12515352777,496793.1852346382,9373274.82270918,9365057.12521097,9373829.523061378,402,434,428
504,683460.7511776629,689861.6618634858,694246.0013719946,9381138.975188999,9373694.745765591,9387367.287111716,723,755,722
505,689861.6618634858,717822.7901216006,694246.0013719946,9373694.745765591,9378662.154238839,9387367.287111716,755,781,722
506,717822.7901216006,689861.6618634858,696094.1881499547,9378662.154238839,9373694.745765591,9363927.854997933,781,755,789
507,682910.652121778,683460.7511776629,689481.0535565962,9398659.023052096,9381138.975188999,9393533.613946026,675,723,701
508,692070.1403489735,682910.652121778,689481.0535565962,9406170.791582027,9398659.023052096,9393533.613946026,667,675,701
509,685492.4872438468,682910.652121778,692070.1403489735,9411298.641542513,9398659.023052096,9406170.791582027,637,675,667
510,652226.1366154877,671660.9446096712,661798.1101157685,9378623.625624148,9385457.321999285,9393125.52166499,679,696,656
511,683460.7511776629,671660.9446096712,676123.6335192634,9381138.975188999,9385457.321999285,9374660.254827898,723,696,731
512,682910.652121778,671660.9446096712,683460.7511776629,9398659.023052096,9385457.321999285,9381138.975188999,675,696,723
513,663722.3877868928,652226.1366154877,645058.5178351364,9369689.079152714,9378623.625624148,9374441.271734294,724,679,680
514,663722.3877868928,664907.6875092502,676123.6335192634,9369689.079152714,9361452.09700832,9374660.254827898,724,750,731
515,671660.9446096712,663722.3877868928,676123.6335192634,9385457.321999285,9369689.079152714,9374660.254827898,696,724,731
516,663722.3877868928,671660.9446096712,652226.1366154877,9369689.079152714,9385457.321999285,9378623.625624148,724,696,679
517,648624.5627390271,648032.3521310176,661798.1101157685,9403335.5284149,9394052.225045789,9393125.52166499,600,627,656
518,661058.0229070202,648624.5627390271,661798.1101157685,9408326.262249587,9403335.5284149,9393125.52166499,604,600,656
519,639065.71667733,646445.1578859112,637987.874374975,9471573.485226082,9478083.336602226,9482137.102716526,376,367,341
520,646445.1578859112,643563.3343038522,637987.874374975,9478083.336602226,9487601.380891316,9482137.102716526,367,334,341
521,659117.8628670551,646445.1578859112,656705.2954431038,9485398.661663111,9478083.336602226,9475067.017734217,366,367,398
522,646445.1578859112,659117.8628670551,643563.3343038522,9478083.336602226,9485398.661663111,9487601.380891316,367,366,334
523,559145.85354252,565173.8138250541,554273.5622222008,9442676.446136963,9457479.477010226,9448781.232297027,328,295,303
524,565173.8138250541,559145.85354252,573375.0181495062,9457479.477010226,9442676.446136963,9448842.90418371,295,328,332
525,520130.31156245875,512729.855957749,528370.8277573232,9459983.104786545,9451052.313540023,9451383.375112712,222,232,255
